title,company,location,source,job_type,seniority,is_remote,country,tech_stack
Product Designer,Bitgo,Remote,web3.career,Product Manager,Mid,True,Remote,[]
Senior Brand Design Systems Lead,ZIGCHAIN,Remote,web3.career,Designer,Senior,True,Remote,[]
Product Design Wallet Platm,Phantom,United States,web3.career,Product Manager,Mid,False,USA,[]
Senior Brand Design Systems Lead,Zignaly,Remote,web3.career,Designer,Senior,True,Remote,[]
Staff Software Development Engineer UI,Zscaler,Remote,web3.career,Designer,Senior,True,Remote,[]
Product Designer Wallet Platm,Phantom,United States,web3.career,Product Manager,Mid,False,USA,[]
Product Designer,Fireblocks,Remote,web3.career,Product Manager,Mid,True,Remote,[]
Web3 Creative Designer,Serotonin,"New York,NY,United States",web3.career,Designer,Mid,False,USA,[]
Senior Product Designer,Nexus,Argentina,web3.career,Product Manager,Senior,False,Other,[]
Product Designer,ENS Labs,Americas (AMER),web3.career,Product Manager,Mid,False,Other,[]
Senior Product Designer Institutional Custody,Avalabs,Remote,web3.career,Product Manager,Senior,True,Remote,[]
Multimedia Designer 100% remote,Tether,"Barcelona,Spain",web3.career,Designer,Mid,False,Other,[]
Junior Designer 100% remote,Tether,"Lisboa,Portugal",web3.career,Designer,Junior,False,Other,[]
Senior Associate Brand Design,Bitpanda,Remote,web3.career,Designer,Senior,True,Remote,[]
Product Design Intern Summer 2026,Gemini,"New York,NY,United States",web3.career,Product Manager,Junior,False,USA,[]
Senior Web Designer Digital Illustrator,Alpaca,Remote,web3.career,Designer,Senior,True,Remote,[]
Motion Designer,Alpaca,Remote,web3.career,Designer,Mid,True,Remote,[]
Crypto Graphic Designer EuropeRemote,Token Metrics Inc.,Remote,web3.career,Designer,Mid,True,Remote,[]
Frontend Engineer UX Infrastructure Integrations,Solomon Labs,Remote,web3.career,Frontend Developer,Mid,True,Remote,[]
Design Engineer Frontend,Solomon Labs,Remote,web3.career,Frontend Developer,Mid,True,Remote,[]
