title,company,location,source,job_type,seniority,is_remote,country,tech_stack,cluster
Trading Operations Specialist Digital Assets London Hybrid,Keyrock,"London,United Kingdom",web3.career,Other,Mid,False,UK,,3
Trading Operations Specialist Digital Assets EMEA Remote,Keyrock,"London,United Kingdom",web3.career,Other,Mid,False,UK,,3
Accounting Specialist Digital Assets Belgium Hydrid,Keyrock,"Brussels,Belgium",web3.career,Other,Mid,False,Other,,0
Lead Backend Rust Engineer,travoom,"Austin,TX,United States",web3.career,Rust/Solana Developer,Lead,False,USA,,3
Social Media Lead,Supra,"New York,NY,United States",web3.career,Marketing/Growth,Lead,False,USA,,3
Sr Sports Trader Risk Analyst,Magic Eden,"Melbourne,Australia",web3.career,Research/Analyst,Mid,False,Other,,0
Backend Architecture and Game Server,Miracle Dojo Inc,United States,web3.career,Backend Developer,Mid,False,USA,,3
Social Marketing Manager DOMA,D3,"Los Angeles,CA,United States",web3.career,Marketing/Growth,Mid,False,USA,,3
Staff Software Engineer MetaMask New Networks,Consensys,Remote,web3.career,Other,Senior,True,Remote,,0
Robot Network Software EngineerNew,Figure,"San Jose,CA,United States",web3.career,Other,Mid,False,USA,,3
Junior Frontend Software Developer,Triton One,Remote,web3.career,Frontend Developer,Junior,True,Remote,,0
Robot Network Software Engineer,Figure,"San Jose,CA,United States",web3.career,Other,Mid,False,USA,,3
Accounting Manager,Magic Eden,United States,web3.career,Other,Mid,False,USA,,3
